n,timestamp,original_timestamp,part,caption,filename,full_res_url
11,1:07,1:07,1,"The roof is kitchen, storage and spare bedroom",11_1-07.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233451_6ab39515-ee5a-4de3-8e0e-ff7620e62589.png
12,1:13,1:13,1,"Shared with too many relatives, and mice",12_1-13.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233451_f7b64b0f-8e81-4225-a0c7-f475f9259df0.png
13,1:19,1:19,1,Linen from flax: a kilt and a straight dress,13_1-19.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233451_46259581-aeea-4215-9a37-bbdaaf893f2a.png
14,1:26,1:26,1,Children wore nothing; nearly everyone wore eye paint,14_1-26.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233522_67a32845-c79d-4ee1-bf65-73b9eac021f1.png
15,1:33,1:33,1,Ground galena that cut the glare like an athlete,15_1-33.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233522_38c6b3fb-5d40-4e7f-a28b-67062f8028f3.png
16,1:40,1:40,1,Two lead compounds that don't occur naturally in Egypt,16_1-40.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233522_c99fec4e-71e7-42b1-b34a-222a8d0dfbf3.png
17,1:46,1:46,1,"Somebody was manufacturing them deliberately, over weeks",17_1-46.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233522_3402701a-739c-48d7-adfa-0a0cef1232bb.png
18,1:52,1:52,1,A lab study: an immune signal boosted in cultured cells,18_1-52.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233522_371719a9-8e49-4773-a6ff-6edab041564c.png
19,1:58,1:58,1,"Bread and beer for breakfast, lunch and dinner",19_1-58.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233522_3cc0a2b5-b173-44de-866d-6d42dcf63ffc.png
20,2:07,2:07,1,"Beer thick and filling, closer to porridge",20_2-07.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233522_a8ffaa75-80ce-454c-94f6-8fb3ff1de6b6.png
21,2:14,2:14,1,"Onions, dates, cucumbers, fish, and festival meat",21_2-14.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233522_0fea5ae1-7081-496c-b2b2-b30b691ff1f2.png
22,2:23,2:23,1,"Grain ground on stone, grit shed into the flour",22_2-23.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233522_cf1e1e3c-25aa-448c-a45a-26cba56e4845.png
23,2:30,2:30,1,Skulls with teeth worn flat and abscesses in the jaw,23_2-30.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233522_67f33289-b36e-499d-848e-36a4009bb7b8.png
24,2:36,2:36,1,And there were no dentists,24_2-36.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233522_5f99f04a-b277-45f4-b4e1-149e18c2e54e.png
25,2:42,2:42,1,Once a year the Nile floods and drops black silt,25_2-42.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233522_66532b0d-e360-47dd-a527-8ffbf76a3e8c.png
26,2:47,2:47,1,"The Black Land, named after the mud not the sand",26_2-47.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233601_d491d8e9-406b-4fc4-8de8-0e7c891d4416.png
27,2:54,2:54,1,"Three seasons: the flood, the growing, the harvest",27_2-54.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233601_a7c1f8d5-fe95-4866-b9b0-2bb8440db5fe.png
28,3:01,3:01,1,"Fields underwater, so the state puts you to work",28_3-01.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233601_3ff859d5-de96-42cf-aa13-7c0844430305.png
29,3:06,3:06,1,"Not slavery, closer to conscripted labour",29_3-06.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233601_927fd336-d3e8-4509-9b8c-bd79e8328dcc.png
30,3:12,3:12,1,"Fed, housed, and written down by name",30_3-12.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233601_0f32509b-8020-436c-aa5a-d04831e11bac.png
31,3:17,3:17,1,"Pyramid builders: job titles, ration lists, their own cemetery",31_3-17.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233601_7d3b9506-3d9f-4e5a-a38e-1d9736593450.png
32,3:25,3:25,1,"Bread, beer and a surprising amount of beef",32_3-25.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233601_6e2aed0a-bea2-4860-8599-999c3a4a5c8e.png
33,3:31,3:31,1,The Great Pyramid is already over a thousand years old,33_3-31.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233601_0b82c8c5-3209-4426-9adf-1de0bf35b63b.png
34,3:37,3:37,1,As ancient to you as Charlemagne is to a modern viewer,34_3-37.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_234801_9ecf966c-af4f-4e18-acac-069e571c1ac3.png
35,3:44,3:44,1,Flood height sets your taxes,35_3-44.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233601_3c6b59b4-f3bb-4666-b329-f4f9b49135c7.png
36,3:51,3:51,1,"Too high, and your village is underwater",36_3-51.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233601_c8e9a698-ea57-400f-8f3b-1abb214fd056.png
37,3:58,3:58,1,Scribes measure your field and claim a share,37_3-58.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233631_6a11dc36-984d-4497-b3d5-462d61411f49.png
38,4:04,4:04,1,Farmers dragged in front of the assessors,38_4-04.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233631_04000bea-8802-4dd4-a9ce-7b68ad46ce53.png
39,4:10,4:10,1,Nobody painted it as a scandal. It was just Tuesday,39_4-10.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233631_9dd2cf88-669b-44b6-a3c8-a7a66d01350c.png
40,4:17,4:17,1,"Builders, soldiers, priests, and scribes at the top",40_4-17.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233631_ae9552f5-0f93-4366-82a9-24eb0835d3c3.png
41,4:24,4:24,1,A scribe lifted nothing. A scribe paid less,41_4-24.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233631_af81c1d7-af98-4dee-ad89-a40c9f7258c3.png
42,4:30,4:30,1,Schoolboys handed a text about every other trade,42_4-30.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233631_e802f7b2-ada8-483c-bf12-927fc7b7af6d.png
43,4:36,4:36,1,Every trade described as filthy: careers propaganda,43_4-36.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233631_be9d9fc6-169a-47c9-95a6-551b415ff036.png
44,4:44,4:44,1,The enormous temples you were never allowed inside,44_4-44.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233631_b8efb4de-ce3b-4ab4-a750-bbc27f30af7b.png
45,4:50,4:50,1,"The god's house, staffed by priests, closed to the public",45_4-50.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_234918_746aa29b-ea8a-48ed-a2f2-d124599ad7d2.png
46,4:56,4:56,1,Festivals: the god carried out in a boat,46_4-56.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233631_9172c7b7-e7dd-4951-9a75-ea2fb5c4824d.png
47,5:01,5:01,1,Your actual religion happened at home,47_5-01.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233631_884ada0e-8c8a-4dc0-abe8-d3593eb1625d.png
48,5:08,5:08,1,Bes and Tawaret on the shelf,48_5-08.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233631_e2f9405c-eb27-4245-865f-8b3bfb6ccec7.png
49,5:14,5:14,1,A hippo goddess with a crocodile down her back,49_5-14.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233711_b50f8def-1e88-4b22-991d-92b9bde48aeb.png
50,5:20,5:20,1,"The two most dangerous animals, reassigned as babysitters",50_5-20.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_234802_32134d56-f9fd-4b98-ba29-0a466af8330f.png
51,5:26,5:26,1,"Painted busts of dead relatives, and food left for them",51_5-26.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_234801_b56ea7b2-28e9-4f6b-ae08-601c2afd1e5c.png
52,5:32,5:32,1,"Natron paste, shaved heads, and a wig on top",52_5-32.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233710_5499fd04-3b6d-4546-b4db-0e2aa1c0e04c.png
53,5:39,0:00,2,Magic and medicine were the same job,53_5-39.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233710_0dee9d57-2fee-465e-8c33-9d811c9c69e8.png
54,5:44,0:05,2,"Wounds packed with honey, which really is antibacterial",54_5-44.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233710_526b37d4-7957-4dbd-a297-93b7a08a9e4e.png
55,5:49,0:10,2,They also prescribed spells,55_5-49.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233710_6c61d7cf-b37d-4a5c-a934-3ae4b9fae607.png
56,5:54,0:15,2,"One to treat, one to fight, one not to treat at all",56_5-54.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233710_e94d681a-9396-4040-90dd-31c1123c8f71.png
57,6:00,0:21,2,A doctor writing down when to stop,57_6-00.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233711_5fa0a9fe-c83b-4a13-9daa-cf12a8f357f9.png
58,6:06,0:27,2,Your real enemies are invisible,58_6-06.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233710_510c3951-cde7-483a-a51f-98f2a00709a8.png
59,6:12,0:33,2,Parasites in the river; mummies still test positive,59_6-12.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233710_209e40d3-cc65-4836-a7d8-46eef2f7f269.png
60,6:18,0:39,2,Dust wrecked lungs and small cuts turned septic,60_6-18.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233710_7985050a-af13-44dc-be2c-656d844a6b26.png
61,6:23,0:44,2,And then there is childbirth,61_6-23.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233740_51bbef45-dc24-4521-ac1e-dcc7fb0955f9.png
62,6:28,0:49,2,"Giving birth crouching, supported by others",62_6-28.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233740_1001deb7-be99-41d1-af15-658ab2f801e5.png
63,6:33,0:54,2,"Painted birth bricks, one found at Abydos",63_6-33.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233740_e5f91030-2d09-4d3d-9145-66b8fde18de0.png
64,6:39,1:00,2,"Many women didn't survive, and neither did many children",64_6-39.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233740_c7dd61c4-c0fc-4ccd-a0ec-b3bc9c89de7a.png
65,6:44,1:05,2,"Marriage, though, is oddly familiar",65_6-44.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233740_02fd0d57-672c-45a6-887d-e0e8b45418df.png
66,6:49,1:10,2,"No ceremony, no rite: you moved in together",66_6-49.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233740_e5aa0e86-4f5f-4404-996d-cc70e3b5d052.png
67,6:54,1:15,2,"Founding a household, and sorting out the property",67_6-54.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233740_b2e5d53b-99ae-4b0e-b574-63e6eae26d91.png
68,7:00,1:21,2,"In legal documents, Egyptian women own property",68_7-00.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233740_6c1298d9-3682-45d6-b594-00931a695b37.png
69,7:06,1:27,2,"They inherit, sell, sue, testify and start divorces",69_7-06.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233740_04970061-bee7-426f-8ea5-706e1897b033.png
70,7:13,1:34,2,"Under their own names, no male guardian signing",70_7-13.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233740_583fa51c-1dad-4ec8-a429-e2901e86518d.png
71,7:18,1:39,2,Not standard elsewhere in the ancient world,71_7-18.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_234801_2577a38d-b669-4486-b1be-34771b857df4.png
72,7:24,1:45,2,Legal rights are not equality: rations went to men,72_7-24.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_234801_3d2290be-891e-4012-8a9d-a1e76bba4ef9.png
73,7:30,1:51,2,"She could take you to court, not take your job",73_7-30.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233923_f37dd9ff-0b3c-45ef-b905-5d59cb52fa7e.png
74,7:36,1:57,2,Education was for a minority,74_7-36.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233923_136989b5-63f0-44c6-ab21-e065f5830dbd.png
75,7:41,2:02,2,Boys copied texts onto limestone flakes,75_7-41.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233923_5301c2d9-5453-4c2b-8324-dd4143eaccf1.png
76,7:46,2:07,2,"Their homework survives, with the teacher's corrections",76_7-46.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233923_cb291997-b02b-4fda-92f9-ad4e7e9f209f.png
77,7:51,2:12,2,"For the wealthy it was completely different, especially in death",77_7-51.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233923_d8fb7fa9-f799-420e-91b1-a9335d7c3f77.png
78,7:58,2:19,2,"70 days, natron, linen, a painted coffin",78_7-58.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233923_974645db-c064-413b-abdd-ff85d1c5a6c0.png
79,8:04,2:25,2,"Or a stripped down version, or a shallow desert grave",79_8-04.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233923_9b243bb1-6189-4e22-b0fe-498dca5211c1.png
80,8:09,2:30,2,Where dry sand did the preserving for free,80_8-09.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233923_03f86093-2c17-4deb-b8bf-d5e7e40ae182.png
81,8:14,2:35,2,Which is how Egyptians learned the desert preserves bodies,81_8-14.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233923_771d002c-897d-4d15-a10c-7161b594d810.png
82,8:19,2:40,2,"Body intact, name spoken aloud, food left at the grave",82_8-19.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233923_93ad34ee-f84b-4f91-9b75-ce3eede77d9b.png
83,8:25,2:46,2,Or you stopped continuing,83_8-25.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233923_5ff91bfc-9342-47e3-b50c-6b978e09e138.png
84,8:31,2:52,2,"Feeding the busts wasn't sentiment, it was maintenance",84_8-31.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233923_b59ae2bd-9e00-4a82-bf4b-7fdf5e42d6c4.png
85,8:38,2:59,2,Cats killed the rats and snakes going after your grain,85_8-38.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233949_9774af91-8bd4-4830-9db0-09fb330d0633.png
86,8:42,3:03,2,The famous mummified cats came much later,86_8-42.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233949_01973c06-e553-4f0d-9097-fd39d3c6874f.png
87,8:47,3:08,2,Bred and sold to pilgrims as offerings,87_8-47.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233949_4791e7c7-6468-4381-837e-effaca5cd491.png
88,8:53,3:14,2,Roughly 700 years after your morning. Egypt changed,88_8-53.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233949_c0b7abe0-e7fe-48fa-b5c5-b7b948fd2c02.png
89,9:01,3:22,2,"14 hours later, you climb back up to the roof",89_9-01.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233949_4cad0010-4c15-4008-9374-83ab4095dcaf.png
90,9:06,3:27,2,"Bread, a family, a river, and a hippo goddess",90_9-06.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233949_0ab746b9-3e9b-4c95-bf6d-02411a2dbc71.png
91,9:12,3:33,2,We remember Egypt through its funerals,91_9-12.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233949_8eabfb2f-eb1b-4f7c-9dbc-1aebb3eafaf1.png
92,9:17,3:38,2,The tombs are the exception,92_9-17.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233949_fb51557f-ec93-4586-b963-4009e3684ad0.png
93,9:23,3:44,2,"You are the rule: the boss, the money",93_9-23.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233949_ab2122da-e59c-474e-a121-409c97e7dc19.png
94,9:27,3:48,2,They wanted their kids to have it easier,94_9-27.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233949_052a16ee-e48c-4646-b87a-bb3d62b0c75c.png
95,9:32,3:53,2,You know what to do,95_9-32.png,https://d8j0ntlcm91z4.cloudfront.net/user_3Ha4592dv7FfFZ8N576BN5sPN3u/hf_20260816_233949_bbf36f86-fd95-4dc8-8c95-54d59386f05e.png
